dataset_accession,sample_id,patient_or_donor_id,biological_source,disease_status,tissue_site,timepoint,assay,platform,analysis_role,n_cells_or_spots_analyzed,count_unit,primary_input,processed_object,principal_script,source_url,notes
GSE253355,GSM8019222_H39,H39,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,9848,cells retained after conservative QC,GSM8019222_H39 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019223_H41,H41,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,8927,cells retained after conservative QC,GSM8019223_H41 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE279576,GSM8576301_BM1,Patient 1,Newly diagnosed AML bone marrow biopsy,Acute myeloid leukemia; pretreatment,Bone marrow,Before treatment initiation,Visium CytAssist Spatial Gene Expression v2,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",2766,spatial spots in final OU input table,GSM8576301_BM1_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576301_BM1_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: BM.
GSE279576,GSM8576302_EM1,Patient 1,Newly diagnosed AML extramedullary tissue biopsy,Acute myeloid leukemia; pretreatment,Extramedullary tissue,Before treatment initiation,Visium CytAssist Spatial Gene Expression v2,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",3397,spatial spots in final OU input table,GSM8576302_EM1_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576302_EM1_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: EM.
GSE279576,GSM8576303_BM2,Patient 2,Newly diagnosed AML bone marrow biopsy,Acute myeloid leukemia; pretreatment,Bone marrow,Before treatment initiation,Visium CytAssist Spatial Gene Expression v2,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",1544,spatial spots in final OU input table,GSM8576303_BM2_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576303_BM2_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: BM.
GSE279576,GSM8576304_EM2,Patient 2,Newly diagnosed AML extramedullary tissue biopsy,Acute myeloid leukemia; pretreatment,Extramedullary tissue,Before treatment initiation,Visium CytAssist Spatial Gene Expression v2,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",4437,spatial spots in final OU input table,GSM8576304_EM2_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576304_EM2_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: EM.
GSE279576,GSM8576305_EM1_v1,Patient 1,Newly diagnosed AML extramedullary tissue biopsy,Acute myeloid leukemia; pretreatment,Extramedullary tissue,Before treatment initiation,Visium Spatial Gene Expression direct placement v1,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",1442,spatial spots in final OU input table,GSM8576305_EM1_v1_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576305_EM1_v1_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: EM.
GSE279576,GSM8576306_EM2_v1,Patient 2,Newly diagnosed AML extramedullary tissue biopsy,Acute myeloid leukemia; pretreatment,Extramedullary tissue,Before treatment initiation,Visium Spatial Gene Expression direct placement v1,Illumina NovaSeq 6000,"Spatial ecological context discovery, opportunity landscape, OU-like and Lévy-like analyses",3431,spatial spots in final OU input table,GSM8576306_EM2_v1_filtered_feature_bc_matrix.h5 plus spatial image/coordinate files,GSM8576306_EM2_v1_visium_spatial_contexts.h5ad,process_GSE279576_visium.py; score_GSE279576_visium_ecology.py; discover_GSE279576_spatial_ecological_contexts.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279576,Site class used in analysis: EM.
GSE235923,GSM7511998,AML Patient 1,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7511998_Sample1D_barcodes.tsv.gz; GSM7511998_Sample1D_features.tsv.gz; GSM7511998_Sample1D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7511999,AML Patient 2,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7511999_Sample2D_barcodes.tsv.gz; GSM7511999_Sample2D_features.tsv.gz; GSM7511999_Sample2D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512000,AML Patient 3,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512000_Sample3D_barcodes.tsv.gz; GSM7512000_Sample3D_features.tsv.gz; GSM7512000_Sample3D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512001,AML Patient 3,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512001_Sample3E_barcodes.tsv.gz; GSM7512001_Sample3E_features.tsv.gz; GSM7512001_Sample3E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512002,AML Patient 4,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512002_Sample4D_barcodes.tsv.gz; GSM7512002_Sample4D_features.tsv.gz; GSM7512002_Sample4D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512003,AML Patient 5,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512003_Sample5D_barcodes.tsv.gz; GSM7512003_Sample5D_features.tsv.gz; GSM7512003_Sample5D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512004,AML Patient 5,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512004_Sample5E_barcodes.tsv.gz; GSM7512004_Sample5E_features.tsv.gz; GSM7512004_Sample5E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512005,AML Patient 5,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Relapse,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512005_Sample5R_barcodes.tsv.gz; GSM7512005_Sample5R_features.tsv.gz; GSM7512005_Sample5R_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512006,AML Patient 6,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512006_Sample6D_barcodes.tsv.gz; GSM7512006_Sample6D_features.tsv.gz; GSM7512006_Sample6D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512007,AML Patient 6,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512007_Sample6E_barcodes.tsv.gz; GSM7512007_Sample6E_features.tsv.gz; GSM7512007_Sample6E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512008,AML Patient 6,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Relapse,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512008_Sample6R_barcodes.tsv.gz; GSM7512008_Sample6R_features.tsv.gz; GSM7512008_Sample6R_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512009,AML Patient 7,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512009_Sample7D_barcodes.tsv.gz; GSM7512009_Sample7D_features.tsv.gz; GSM7512009_Sample7D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512010,AML Patient 8,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512010_Sample8D_barcodes.tsv.gz; GSM7512010_Sample8D_features.tsv.gz; GSM7512010_Sample8D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512011,AML Patient 9,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512011_Sample9D_barcodes.tsv.gz; GSM7512011_Sample9D_features.tsv.gz; GSM7512011_Sample9D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512012,AML Patient 10,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512012_Sample10D_barcodes.tsv.gz; GSM7512012_Sample10D_features.tsv.gz; GSM7512012_Sample10D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512013,AML Patient 11,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512013_Sample11D_barcodes.tsv.gz; GSM7512013_Sample11D_features.tsv.gz; GSM7512013_Sample11D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512014,AML Patient 12,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512014_Sample12D_barcodes.tsv.gz; GSM7512014_Sample12D_features.tsv.gz; GSM7512014_Sample12D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512015,AML Patient 13,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512015_Sample13D_barcodes.tsv.gz; GSM7512015_Sample13D_features.tsv.gz; GSM7512015_Sample13D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512016,AML Patient 14,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512016_Sample14D_barcodes.tsv.gz; GSM7512016_Sample14D_features.tsv.gz; GSM7512016_Sample14D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512017,AML Patient 14,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512017_Sample14E_barcodes.tsv.gz; GSM7512017_Sample14E_features.tsv.gz; GSM7512017_Sample14E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512018,AML Patient 15,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512018_Sample15E_barcodes.tsv.gz; GSM7512018_Sample15E_features.tsv.gz; GSM7512018_Sample15E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512019,AML Patient 16,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,Diagnosis,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512019_Sample16D_barcodes.tsv.gz; GSM7512019_Sample16D_features.tsv.gz; GSM7512019_Sample16D_matrix.mtx.gz,gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
GSE235923,GSM7512020,AML Patient 16,Cryopreserved pediatric AML bone marrow,Pediatric acute myeloid leukemia,Bone marrow,End of induction,10x Genomics 3' single-cell RNA-seq,Illumina NovaSeq 6000,Branching-like amplification and therapy-response validation,,Not available in provided file inventory,GSM7512020_Sample16E_barcodes.tsv.gz; GSM7512020_Sample16E_features.tsv.gz; GSM7512020_Sample16E_matrix.mtx.gz,Processed 10x matrix used for treatment-associated validation,build_Figure6_branching_amplification.py; build_Figure7_therapy_response_validation.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235923,"GEO series contains 31 samples: 19 diagnosis, 10 end-of-induction, and 2 relapse samples."
